Sub,V_beta,LG-N,LL-N,rel_rew
sub-1001,-0.00894470543218116,-0.02675238432129845,-0.02381576970219612,-0.002936614619102329
sub-1002,-0.013022160535911128,-0.07284346886444837,-0.06325886945705861,-0.00958459940738976
sub-1003,9.272872765509217e-05,0.05402368732029572,-0.009556374381645583,0.0635800617019413
sub-1004,-0.002456378798732268,0.020756292971782386,-0.01979332009796053,0.04054961306974292
sub-1006,-0.005296311216495425,-0.023400558333378285,-0.022995747160166502,-0.00040481117321178317
sub-1007,0.0037547342113351707,0.013241489650681615,0.05351838516071439,-0.04027689551003277
sub-1009,-0.00167837920266074,-0.014629499870352447,-0.00745293207000941,-0.007176567800343037
sub-1010,-0.004170526850170365,-0.01404418988386169,0.004004798654932529,-0.01804898853879422
sub-1011,-0.006341787246388551,-0.03605276008602232,-0.02350619249045849,-0.012546567595563829
sub-1012,-0.00606425875698089,-0.022780944127589464,-0.05995500891003758,0.03717406478244811
sub-1013,-0.005111098547526433,-0.017062165619790903,-0.018792350899275334,0.0017301852794844308
sub-1015,-0.00782067852976203,-0.011908287357073277,-0.011626036080997437,-0.00028225127607584
sub-1016,-0.0021683272040848712,-0.008567739743739367,-0.004527329816482961,-0.004040409927256405
sub-1019,-0.008774845287137331,-0.022096502187196165,-0.021450343017932028,-0.0006461591692641377
sub-1021,0.0003509920913659039,0.07325190614210442,-0.00725400896044448,0.0805059151025489
sub-1242,-0.0010213107009674463,-0.009704300631710794,0.01244319133911631,-0.022147491970827105
sub-1243,-0.002138637181425556,-0.015503265205552452,-0.0064322989082938875,-0.009070966297258565
sub-1244,0.0035632521051281187,-0.03186155833827797,0.023844699273467995,-0.05570625761174597
sub-1245,-0.004766330813124261,-0.04331921262200922,-0.027058470877818763,-0.016260741744190454
sub-1247,0.00206213323898348,0.003597431699745357,0.005624666227959096,-0.0020272345282137394
sub-1248,-0.00432937970916622,-0.027202937097172253,-0.01956209169838985,-0.007640845398782403
sub-1249,0.0011810976580558415,0.003854156944726128,0.005781914624094497,-0.0019277576793683693
sub-1253,0.015485648082436135,0.10532412026077509,0.07310617109760642,0.03221794916316867
sub-1255,-0.018549999506441487,-0.1492530014438671,-0.13124419461382786,-0.018008806830039248
sub-1276,0.003812088863924118,0.01289055886445567,0.021662067680153996,-0.008771508815698326
sub-1282,0.00635745609302566,0.035044225828187336,0.03192090216452925,0.003123323663658084
sub-1285,0.009229679635609462,0.011540328530827537,0.03737045091111213,-0.025830122380284593
sub-1286,0.013803507750188671,0.07696827666950412,0.033975277736317366,0.042992998933186755
sub-1294,0.010483073187060626,0.06482735939789563,0.05310354824177921,0.011723811156116426
sub-1300,-0.0028622259685238127,-0.017731455503962934,0.0148227519239299,-0.032554207427892834
sub-1301,-0.0033694400668277794,0.0014677058206871152,-0.007477843319065869,0.008945549139752984
sub-1302,0.0031184656441577098,0.00043620786163955927,0.0033581966999918222,-0.002921988838352263
sub-1303,-0.009594357143214468,-0.049122850001367624,-0.029159449999497156,-0.019963400001870468
sub-1999,0.03526120682779167,0.09800455952063203,0.3701615808531642,-0.27215702133253217
sub-3116,0.0005775036302760431,0.005837912001879886,-0.016689624055288732,0.022527536057168618
sub-3125,-0.00019071873975922066,-0.009883003309369087,-0.006329662282951176,-0.003553341026417911
sub-3140,-0.014375758473761378,-0.026762782828882337,-0.11170781194232404,0.0849450291134417
sub-3143,-0.010618286565919136,-0.055414395945263095,-0.06543751647404861,0.010023120528785512
sub-3152,0.00041836494554961924,0.003978698601713404,0.00017689814558252692,0.003801800456130877
sub-3164,0.015542228317437009,0.07670474184124032,0.0716926020468236,0.005012139794416726
sub-3166,-0.004652383271604834,-0.0635049146367237,-0.041107787503278814,-0.022397127133444883
sub-3167,-0.0021192957813452673,-0.0508987195789814,-0.009486342896707356,-0.041412376682274044
sub-3170,0.00012743571382343985,0.002905699991970323,0.010100100000272505,-0.007194400008302182
sub-3173,0.001178014243903008,0.004867542869760655,0.011023477505659685,-0.00615593463589903
sub-3175,-0.012658739285793058,-0.10734460002277046,-0.09475160000147298,-0.012593000021297485
sub-3176,0.0011856472992803524,0.012136934150476009,-0.0007986036944203079,0.012935537844896317
sub-3186,-0.011594978568609861,-0.054645949945552275,-0.041934399981983006,-0.012711549963569269
sub-3189,-0.0015656857150524203,-0.008640000007289927,-0.010015300002123695,0.0013752999948337674
sub-3190,-0.02569993571211986,-0.15262949996395037,-0.08541719999630004,-0.06721229996765032
sub-3199,-0.0409130857359352,-0.2905039000324905,-0.21830200008116663,-0.07220189995132387
sub-3200,-0.004290907136497256,-0.014804399979766458,-0.025678499951027334,0.010874099971260875
sub-3206,-0.028057364281266966,-0.1515687998617068,-0.13421110005583614,-0.017357699805870652
sub-3210,0.004604149983996254,-0.013413050037343055,-0.008439750119578093,-0.004973299917764962
sub-3212,-0.017072221422235384,-0.05114829994272441,-0.04811790003441274,-0.003030399908311665
sub-3218,-0.0015257642537887996,-0.0009161997586488724,-0.022112099453806877,0.021195899695158005
sub-3220,-0.017513928569055055,-0.019896449986845255,-0.026286300038918853,0.006389850052073598
sub-3223,-0.017602949935410752,-0.06001709960401058,-0.025304199662059546,-0.034712899941951036
