Sub,V_beta,LG-N,LL-N
sub-1001,-0.008537080671106066,-0.02675238432129845,-0.02381576970219612
sub-1002,-0.013022160535911128,-0.07284346886444837,-0.06325886945705861
sub-1003,-0.0006168870199222667,0.05402368732029572,-0.014523684614687227
sub-1004,-0.002456378798732264,0.020756292971782386,-0.01979332009796053
sub-1006,-0.005296311216495425,-0.023400558333378285,-0.022995747160166502
sub-1007,0.0037547342113351994,0.013241489650681615,0.05351838516071439
sub-1009,-0.00167837920266074,-0.014629499870352447,-0.00745293207000941
sub-1010,-0.004302100369906376,-0.014965204522013664,0.004004798654932529
sub-1011,-0.00722114126464087,-0.04220823821378872,-0.02350619249045849
sub-1012,-0.006041327241941258,-0.022780944127589464,-0.05995500891003758
sub-1013,-0.005111098547526433,-0.017062165619790903,-0.018792350899275334
sub-1015,-0.007820678529762017,-0.011908287357073277,-0.011626036080997437
sub-1016,-0.0018750690422686149,-0.008567739743739367,-0.004527329816482961
sub-1019,-0.008119845488441366,-0.017511503596324474,-0.016865344427060336
sub-1021,0.0003509920913659039,0.07325190614210442,-0.00725400896044448
sub-1242,-0.0016655716591621092,-0.014214127339073457,0.01244319133911631
sub-1243,-0.002573117936403209,-0.01854463049039623,-0.0064322989082938875
sub-1244,0.0012814968504244113,-0.03507756946783047,0.011088423620094545
sub-1245,-0.004766330813124261,-0.04331921262200922,-0.027058470877818763
sub-1247,0.0020621332389834744,0.003597431699745357,0.005624666227959096
sub-1248,-0.00432937970916622,-0.027202937097172253,-0.01956209169838985
sub-1249,0.00288465034204165,0.027588428260060027,-0.013250994583358988
sub-1255,-0.020217241239671682,-0.1492530014438671,-0.14291488674643915
sub-1276,0.002860716169899552,0.00623095000628382,0.021662067680153996
sub-1282,0.006357456093025679,0.035044225828187336,0.03192090216452925
sub-1286,0.013803507750188671,0.07696827666950412,0.033975277736317366
sub-1294,0.010483073187060626,0.06482735939789563,0.05310354824177921
sub-1300,0.008279607731050662,0.002321408537682146,0.08939203846966848
sub-1301,-0.0033694400668277794,0.0014677058206871152,-0.007477843319065869
sub-1302,0.0027607234598170387,0.00043620786163955927,0.0008540014096070081
sub-1303,-0.007603407142856474,-0.032821400000102585,-0.015222799996990943
sub-3116,0.0005775036302760431,0.005837912001879886,-0.016689624055288732
sub-3125,-0.00019071873975922066,-0.009883003309369087,-0.006329662282951176
sub-3140,-0.014375758473761378,-0.026762782828882337,-0.11170781194232404
sub-3143,-0.010618286565919116,-0.055414395945263095,-0.06543751647404861
sub-3166,-0.004652383271604834,-0.0635049146367237,-0.041107787503278814
sub-3167,-0.0021192957813452673,-0.0508987195789814,-0.009486342896707356
sub-3170,0.00012743571382343985,0.002905699991970323,0.010100100000272505
sub-3173,0.001178014243903008,0.004867542869760655,0.011023477505659685
sub-3175,-0.012564535714253552,-0.10734460002277046,-0.09475160000147298
sub-3176,0.0011856472992803524,0.012136934150476009,-0.0007986036944203079
sub-3189,-0.0015656857150524203,-0.008640000007289927,-0.010015300002123695
sub-3190,-0.024801378570763182,-0.14633959997445345,-0.07912730000680313
sub-3199,-0.03578086431869974,-0.25457835011184216,-0.1823764501605183
sub-3200,-0.004290907136497256,-0.014804399979766458,-0.025678499951027334
sub-3206,-0.025721764275139017,-0.13521959981881082,-0.11786190001294017
sub-3212,-0.017072221422235384,-0.05114829994272441,-0.04811790003441274
sub-3218,-0.0015257642537887996,-0.0009161997586488724,-0.022112099453806877
sub-3220,-0.017513928569055086,-0.019896449986845255,-0.026286300038918853
